"code","iso","country","HAD.ind.1995","HAD.ind.1996","HAD.ind.1997","HAD.ind.1998","HAD.ind.1999","HAD.ind.2000","HAD.ind.2001","HAD.ind.2002","HAD.ind.2003","HAD.ind.2004","HAD.ind.2005","HAD.ind.2006","HAD.ind.2007","HAD.ind.2008","HAD.ind.2009","HAD.ind.2010","HAD.ind.2011","HAD.ind.2012","HAD.ind.2013","HAD.ind.2014","HAD.ind.2015","HAD.ind.2016","HAD.ind.2017","HAD.ind.2018","HAD.ind.2019","HAD.ind.2020","HAD.ind.2021","HAD.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0.000207818551047012,0.399553248514181,0.987865913856595,1.61752600143538,2.24508544504334,2.82640406186377,3.41754930644066,4.02865604243804,4.59533770621555,5.13596764294128,5.61702606243358,6.06820276567854,6.48683826948165,6.94863902698029,7.44893758769639,7.44893758769639,7.44893758769639,7.44893758769639
8,"ALB","Albania",16.6219073140657,16.9356166385382,17.7007117038766,18.5063654939589,19.0488519939377,19.8746303420363,21.0745637219683,21.6066532621017,21.9746157779588,22.7882325773493,23.7736225276869,25.1459034313313,26.6108597717885,27.6028824242073,28.8132477341296,29.7840157409456,30.3733705498677,31.0042512666962,31.5384373104284,31.9851470261098,32.4462983541025,33.0115900737491,33.5368191333179,34.0344011668015,34.4901704986751,34.4901704986751,34.4901704986751,34.4901704986751
12,"DZA","Algeria",35.8064029317488,37.401360096502,39.0897134767567,40.8956466189614,42.5832826990078,44.316120635117,46.042184662005,47.8236135293099,49.6324395833938,51.4644553673023,53.3085199161408,55.1995314415249,57.2044395525504,59.2857626228796,61.3712501711326,63.3128118317985,65.0701995178332,66.8702172118629,68.641346348224,70.3328502586534,71.9933448033907,73.5739066222855,75.0657585553595,76.6463798821951,78.3715312119848,78.3715312119848,78.3715312119848,78.3715312119848
20,"AND","Andorra",89.8068110487976,90.7572533930915,91.769974939512,92.689429429087,93.6249493544333,94.4575050254965,95.3403053619092,96.2737398610722,97.1440401012201,97.8899289588546,98.6415257161745,99.3454378105625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",1.97923335090591,2.42181011015415,2.80768430479344,3.07810783104635,3.41973525981867,3.83797588411565,4.36268621409302,4.93730492413034,5.41783310863687,5.72138673834694,6.38182506894594,6.95369922239989,7.62834599545185,8.25089072600881,8.95126362735233,9.62535775836496,10.4043503944587,11.2361857641927,12.2164751756118,13.3297144582432,14.2591586514317,15.2496507205242,16.1834893420065,17.0448402607891,17.9017844355221,17.9017844355221,17.9017844355221,17.9017844355221
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",50.4847818286862,51.7253399133733,52.775385367365,53.7844553917957,54.7155163091236,55.6510012609012,56.4105072495961,57.1470147456776,57.8144189105642,58.4310658956114,59.0974793574497,59.7193142248894,59.8641086525411,60.5285322951012,61.6340097459134,62.2884909911984,62.9489598053231,63.6879982734994,64.3782238887889,64.9970015758026,65.7792314418122,66.6369649225813,67.5150362243611,68.4242889639332,69.3450024113441,69.3450024113441,69.3450024113441,69.3450024113441
32,"ARG","Argentina",40.8183423059764,41.6081453251287,42.4749634741759,43.2338876477548,44.0721941066444,45.17255423307,45.968323727187,46.6140792444319,47.4218230929843,48.5751015420867,49.6681332209038,50.5742799161627,51.2744848212273,52.4144079060429,53.33747592526,54.201291914632,55.0122190595635,55.8554966986998,56.61979330383,57.4414781080021,58.1120124966481,58.5200552059261,59.165506787553,59.8845520454807,60.4994184588245,60.4994184588245,60.4994184588245,60.4994184588245
51,"ARM","Armenia",24.4196001922867,24.6789290505242,25.4599750579803,26.101179001009,26.6808734275007,27.5071379135383,28.3003023999418,29.5791437625567,31.0264585523382,32.8303442888233,34.5395629953395,36.3128150208299,38.6588507637999,40.9446793985528,43.4003921340388,45.5694183479484,47.3084364215211,49.0745761071403,50.810951884722,52.1615294523443,53.1782361164488,54.1617135187126,54.995737668938,55.8298055661043,56.6891618014228,56.6891618014228,56.6891618014228,56.6891618014228
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
